,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
72,1950-51,NBA,Tri-Cities Blackhawks,25,43,0.368,5th of 5,-3.22,103.9,18.4,80.8,-4.3,84.4,-0.7,No,"D. McMillan (9-14), J. Logan (2-1), M. Todorovich (14-28)","F. Brian ,5.6",-3.6000000000000085,30.176
75,2021-22,NBA,Boston Celtics*,51,31,0.622,1st of 5,7.02,96.6,-1.6,114.4,2.4,106.9,-5.1,Lost Finals,I. Udoka (51-31),"R. Williams ,9.9",7.5,51.004
76,2020-21,NBA,Boston Celtics*,36,36,0.5,4th of 5,1.32,98.3,-0.9,114.0,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.,B. Stevens (36-36),"J. Tatum ,6.5",1.5,41.0
77,2019-20,NBA,Boston Celtics*,48,24,0.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107.0,-3.6,Lost E. Conf. Finals,B. Stevens (48-24),"J. Tatum ,6.9",6.299999999999997,54.694
78,2018-19,NBA,Boston Celtics*,49,33,0.598,3rd of 5,3.9,99.6,-0.4,112.2,1.8,107.8,-2.6,Lost E. Conf. Semis,B. Stevens (49-33),"K. Irving ,9.1",4.400000000000006,49.036
79,2017-18,NBA,Boston Celtics*,55,27,0.671,2nd of 5,3.23,96.0,-1.3,107.6,-1.0,103.9,-4.7,Lost E. Conf. Finals,B. Stevens (55-27),"K. Irving ,8.9",3.6999999999999886,55.022000000000006
80,2016-17,NBA,Boston Celtics*,53,29,0.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens (53-29),"I. Thomas ,12.5",2.799999999999997,52.972
81,2015-16,NBA,Boston Celtics*,48,34,0.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.,B. Stevens (48-34),"I. Thomas ,9.7",3.200000000000003,47.97
82,2014-15,NBA,Boston Celtics*,40,42,0.488,2nd of 5,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.,B. Stevens (40-42),"T. Zeller ,6.5",0.20000000000000284,40.016
83,2013-14,NBA,Boston Celtics,25,57,0.305,4th of 5,-4.97,93.3,-0.6,102.9,-3.8,107.7,1.0,No,B. Stevens (25-57),"B. Bass ,5.1",-4.799999999999997,25.009999999999998
